CONSECUTIVO;FECHA DE INSCRIPCION;DEPARTAMENTO DE INSCRIPCION;MUNICIPIO DE INSCRIPCION;CODIGO DIVIPOLA DEPARTAMENTO;CODIGO DIVIPOLA MUNICIPIO;NOMBRE DEL ESTABLECIMIENTO;DIRECCION;AREA;CORREO ELECTRONICO;PREPARACION ALIMENTOS;COMEDORES;EXPENDIO ALIMENTOS;GRANDES SUPERFICIES;ENSAMBLE ALIMENTOS;ALMACENAMIENTO;VENTA VIA PUBLICA;EXPENDIO BEBIDAS ALCOHOLICAS;PLAZAS DE MERCADO;EXPENDIO CARNES;LUGAR DE FUNCIONAMIENTO PARA EXPENDIOS Y ALMACENAMIENTO DE CARNES Y PRODUCTOS CARNICOS COMESTIBLES;INSPECCIONADO POR LA ENTIDAD TERRITORIAL DE SALUD;FECHA DE LA ULTIMA INSPECCION;CONCEPTO ANTERIOR;INSCRIPCION VIGENTE
2372;1/04/2022 0:00;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;PANADERIA PASTELERIA Y CAFETERIA LA RUBIENSE S.A.S;CALLE 5 # 10-08 BARRIO SAN MARTIN;URBANA;panaderiaycafeterialarubiense@gmail.com;Panadería y/o Pastelería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;1/04/2022 0:00;FAVORABLE;SI
2448;1/04/2022 0:00;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;PANADERIA PASTELERIA LA RUBIENSE S.A.S;CALLE 5 # 10-08 SAN MARTIN;URBANA;panaderiaycafeterialarubiense@gmail.com;Panadería y/o Pastelería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;1/04/2022 0:00;FAVORABLE;SI
2378;1/05/2022 0:00;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;DISCO BAR R3;CARRERA 6 # 1-53 LOCAL 1 BARRIO FATIMA;URBANA;reyesangaritaomar@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;1/05/2022 0:00;FAVORABLE;SI
2434;1/05/2022 0:00;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;VENTA DE POLLO LA GRANJA DE NAHOMI;CALLE 6 # 10-82 BARRIO GRAMALOTE;URBANA;yen-nik@hotmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Expendio Carnes /;Independiente /;SI;1/05/2022 0:00;FAVORABLE;SI
2449;1/05/2022 0:00;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;DISCO BAR R3;CRA 6 # 1-53 LOCAL 1 FATIMA;URBANA;reyesangaritaomar@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;1/05/2022 0:00;FAVORABLE;SI
2414;1/06/2022 0:00;NORTE DE SANTANDER;LOS PATIOS;54;405;ESTANCO BAR LA TARZCA;AVENIDA 4 23-16 BARRIO TASAJERO;URBANA;s80amuel@hotmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;1/06/2022 0:00;FAVORABLE;SI
2415;1/06/2022 0:00;NORTE DE SANTANDER;LOS PATIOS;54;405;FUENTES Y LEIVA S.A.S;AVENIDA 10 61-60 LOTE 1 LOCAL 15 C.C. PINAR DEL RIO;URBANA;elgeneralrestobarsas@gmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;1/06/2022 0:00;FAVORABLE;SI
2379;1/07/2022 0:00;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;LECHONERIA MI TOLIMA;CALLE 7 # 0E-51 VILLA ANTIGUA;URBANA;lechoneriamitolima@hotmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;03/18/2019 12:00:00 AM;FAVORABLE;SI
2380;1/11/2022 0:00;NORTE DE SANTANDER;LOS PATIOS;54;405;BODEGA BANDERAS;AVENIDA 7 32-28 PATIO CENTRO;URBANA;johannasoto@outlook.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;NO;1/01/1900 0:00;FAVORABLE;SI
2417;01/19/2022 12:00:00 AM;NORTE DE SANTANDER;LOS PATIOS;54;405;HIELOS EL OSO POLAR LTDA;AVENIDA 10 19-33 LOCAL 12 VIDELSO;URBANA;administracion@hieloslicoresosoolar.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;01/19/2022 12:00:00 AM;FAVORABLE;SI
2387;01/20/2022 12:00:00 AM;NORTE DE SANTANDER;PAMPLONA;54;518;IBAÑEZ CONDE MARTA ISABEL;CASA DE MERCADO CUBIERTO PAMPLONA PUESTO 217;URBANA;ibañezmarta50@gmail.com;Jugos, Frutería y/o Heladería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA /;Plaza de mercado /;SI;01/20/2022 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2388;01/20/2022 12:00:00 AM;NORTE DE SANTANDER;PAMPLONA;54;518;CAMARGO MERCEDES TISOY;CASA DE MERCADO CUBIERTO PAMPLONA PUESTO 213;URBANA;NO REPORTADO;Jugos, Frutería y/o Heladería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA /;Plaza de mercado /;SI;01/20/2022 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2418;01/20/2022 12:00:00 AM;NORTE DE SANTANDER;LOS PATIOS;54;405;FEIJOA CAFE BAR;CALLE 35 4-40 LA SABANA;URBANA;nohelia-8102@hotmail.com;Cafetería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/20/2022 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2416;01/21/2022 12:00:00 AM;NORTE DE SANTANDER;LOS PATIOS;54;405;SABOR LATINO CAFETERIA;AVENIDA 10 25-32 PATIO CENTRO;URBANA;saborlatinocafeteria@gmail.com;Cafetería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/21/2022 12:00:00 AM;FAVORABLE;SI
2424;01/22/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;CLUB DE PESCA DEPORTIVA RAICES TRADICION;66A VEREDA GALAN;RURAL;raicestradicionfamiliasas@gmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/22/2022 12:00:00 AM;FAVORABLE;SI
2444;01/22/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;CLUB DE PESCA DEPORTIVA RAICES TRADICION;66A VEREDA GALAN;URBANA;raicestradicionfamiliasas@gmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/22/2022 12:00:00 AM;FAVORABLE;SI
2419;01/24/2022 12:00:00 AM;NORTE DE SANTANDER;LOS PATIOS;54;405;ASIA FUSION RESTAURANTE;AVENIDA 10 26-80 PATIO CENTRO;URBANA;jolrus@hotmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/24/2022 12:00:00 AM;FAVORABLE;SI
2427;01/24/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;FONDA EL IMPERATORE MAN JR;CALLE 5 # 5-47 LA PARADA;URBANA;marcoantoniomendoza461@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;01/24/2022 12:00:00 AM;FAVORABLE;SI
2447;01/24/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;FONDA EL IMPERATORE MAN JR;CALLE 5 # 5-47 LA PARADA;URBANA;marcoantoniomendoza461@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;01/24/2022 12:00:00 AM;FAVORABLE;SI
2402;01/25/2022 12:00:00 AM;NORTE DE SANTANDER;CHINACOTA;54;172;EL IMPERIO DE CHINACOTA;CALLE 4 NO 4-16 BARRIO EL CENTRO;URBANA;NO REPORTADO;NO APLICA;NO APLICA;Expendio /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI / Expendio Carnes /;NO APLICA;SI;01/25/2022 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2403;01/25/2022 12:00:00 AM;NORTE DE SANTANDER;CHINACOTA;54;172;MINI ABASTOS SANTA MARIA;CALLE 14 NO 2-118;URBANA;luz-linda98@hotmail.com;NO APLICA;NO APLICA;NO APLICA;Hipermercado / Supermercado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI /;NO APLICA;SI;01/25/2022 12:00:00 AM;FAVORABLE;SI
2420;01/25/2022 12:00:00 AM;NORTE DE SANTANDER;LOS PATIOS;54;405;FCB COMUNICACIONES;AVENIDA 10 LOCAL 8 C.C PENSILVANIA;URBANA;cristian2011.cardozogmail.com;Cafetería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/25/2022 12:00:00 AM;FAVORABLE;SI
2421;01/25/2022 12:00:00 AM;NORTE DE SANTANDER;LOS PATIOS;54;405;RESTAURANTE Y HOSPEDAJE KARLYS;KM 3 1-147 VEREDA LOS VADOS;RURAL;yulianavillamizar566@gmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/25/2022 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
